file	qid	designer	link	designer2
1996 Iranian Film Festival (poster).jpg	N/A	-		
۵ عصر (پوستر).jpg	Q547387	حیدر رضایی	Q131700605	
A True Story (poster).jpg	Q5876633	رضا عابدینی	Q766732	
Baran (poster).jpg	Q80409	-		
Bemani aka Stay Alive (poster).jpg	Q5796798	محمد نیک‌بین	Q65199535	
Duel (poster).jpg	Q5948586	-		
I'm Taraneh, 15 (poster).jpg	Q10858570	ابراهیم حقیقی	Q5768261	
Land Of The Sun (poster).jpg	Q14756083	ابراهیم حقیقی	Q5768261	
Le Goutde La Cerise (poster).jpg	Q794178	-		
So Close So Far (poster).jpg	Q7549060	-		
The Day My Aunt Was Ill (poster).jpg	Q136373039	-		
The Derrick (poster).jpg	Q14756123	ابراهیم حقیقی	Q5768261	
The Father (poster).jpg	Q119704	علی وزیریان	Q16048596	
The Fifth Reaction (poster 1).jpg	Q5956612	-		
The Little Man (poster).jpg	Q14756056	مهشید فریبا		
The Pear Tree (poster).jpg	Q4150897	بهزاد خورشیدی		
The Traveller From The South (poster).jpg	Q14756096	عباس کیارستمی		علی بوستان
The Woman (poster).jpg	Q767461	محمد نیک‌بین	Q65199535	
Under The Moon Light (poster).jpg	Q4101731	عصر جدید		
White Dream (poster).jpg	Q5711740	احسان برآبادی		
آبی (پوستر ۱).jpg	Q5942287	کانون تبلیغاتی رامک		
آبی (پوستر ۲).jpg	Q5942287	امیر بلوریان		
آتش‌بس (پوستر).jpg	Q5055759	بهزاد خورشیدی		
آدمک‌ها (پوستر).jpg	Q5750541	-		
آژانس شیشه‌ای (پوستر).jpg	Q5799936	-		
آسمان پرستاره (پوستر).jpg	Q14755949	محمدعلی باطنی		
آکواریوم (پوستر).jpg	Q5895493	بهزاد خورشیدی		
آلبوم (پوستر).jpg	Q14755701	مریم خونساری		
آی پارا (پوستر).jpg	Q14755986	ایران میلاد		
ابر و آفتاب (پوستر).jpg	Q14756062	-		
ابراهیم خلیل‌الله (پوستر ۱).jpg	Q14755665	-		
ابراهیم خلیل‌الله (پوستر ۲).jpg	Q14755665	-		
اتاناری (پوستر).jpg	Q5854169	-		
ارتفاع پست (پوستر).jpg	Q3206468	-		
از کنار هم می‌گذریم (پوستر).jpg	Q2875061	بهزاد خورشیدی		
ازدواج صورتی (پوستر).jpg	Q5868223	پیام سنماری		
اسپاگتی در هشت دقیقه (پوستر).jpg	Q5876361	امیرشیبان خاقانی (گروه تبلیغاتی کیانسه)		
اسکادران عشق (پوستر).jpg	Q14756064	علیرضا گلدوزیان		
اشک سرما (پوستر).jpg	Q5944105	-		
اعتراض (پوستر).jpg	Q5949261	-		
اکواریوم (پوستر).jpg	Q5895493	-		
اگه میتونی منو بگیر (پوستر).jpg	Q5717804	پیام سنماری		
الهه زیگورات (پوستر).jpg	Q5886698	امیرشیبان خاقانی (گروه تبلیغاتی کیانسه)		
انتخاب (پوستر).jpg	Q5711584	-		
انتهای قدرت (پوستر).jpg	Q14756162	-		
ایستگاه متروک (پوستر).jpg	Q3212959	حیدر رضایی		
با دو شقایق (پوستر).jpg	Q14756026	بهزاد خورشیدی		
بادامهای تلخ (پوستر).jpg	Q5819184	منوچهر عبدالله‌زاده		
باران (پوستر ۱).jpg	Q80409	ح.ر. لطفیان		ح. زارعی
باران (پوستر ۲).jpg	Q80409	علی وزیریان		
بازگشت از بوداپست (پوستر).jpg	Q14756104	محمدعلی باطنی		
بازنده (پوستر ۲).jpg	Q5829614	پیام سنماری		
بازنده (پوستر).jpg	Q5829614	حمیدرضا اسحاقی		
بازی با مرگ (پوستر).jpg	Q7203434	حیدر رضایی		
بازیگر (پوستر).jpg	Q14755950	کاوه ابراهیم‌پور		
بازیهای پنهان (پوستر).jpg	Q14756107	حمیدرضا محسنی		
باشگاه سری (پوستر).jpg	Q14755988	حمید کریلی	https://irmdb.sourehcinema.com/People/People.aspx?Id=138112270977	
باغ فردوس ۵ بعدازظهر (پوستر ۱).jpg	Q5908281	بهزاد خورشیدی		
باغ فردوس ۵ بعدازظهر (پوستر ۲).jpg	Q5908281	بهزاد خورشیدی		
باغ‌های کندلوس (پوستر).jpg	Q14755703	بهزاد خورشیدی		
بانوی اردیبهشت (پوستر).jpg	Q5954569	حیدر رضایی		
بانوی کوچک (پوستر).jpg	Q14755868	حیدر رضایی		
بانی چاو (پوستر).jpg	Q14756108	حیدر رضایی		
بچه‌های آسمان (پوستر).jpg	Q339804	حیدر رضایی		
بدلکاران (پوستر).jpg	Q14755185	محمدعلی باطنی		
بربادرفته (پوستر).jpg	Q5922898	-		
برج مینو (پوستر).jpg	Q14755227	-		
بزرگداشت زنده‌یاد علی حاتمی (پوستر ۲).jpg	N/A	-		
بزرگداشت زنده‌یاد علی حاتمی سینماگر ایران (پوستر ۱).jpg	N/A	-		
بزرگداشت شهید سید مرتضی آوینی (پوستر).jpg	N/A	-		
بله برون (پوستر ۱).jpg	Q14755747	امیر خوب‌بخت		
بله برون (پوستر ۲).jpg	Q14755747	امیر خوب‌بخت		
